instID,instName,year,count_ids,count_names
alb.ny.0008,St. Nicholas,1868,3,1
alb.ny.0008,Angel's Guardian,1869,3,1
alb.ny.0008,Our Lady of Angels,1870,3,1
alb.ny.0029,St. Peter's,1868,3,2
alb.ny.0029,St. Peter's,1869,3,2
alb.ny.0029,St. Mary's,1870,3,1
alb.ny.0053,St. Mary's,1868,3,1
alb.ny.0053,St. Patrick's,1869,3,2
alb.ny.0053,St. Patrick's,1870,3,2
alb.ny.0055,St. Mary's,1868,3,2
alb.ny.0055,St. Mary's,1869,3,2
alb.ny.0055,St. Joseph's,1870,3,1
alb.ny.0057,St. Lawrence,1868,3,2
alb.ny.0057,St. Lawrence,1869,3,2
alb.ny.0057,St. Mary's,1870,3,1
alb.ny.0085,St. —,1868,3,2
alb.ny.0085,St. —,1869,3,2
alb.ny.0085,St. Mary of the Vale,1870,3,1
alb.ny.0086,St. —,1868,3,1
alb.ny.0086,St. Mary's,1869,3,2
alb.ny.0086,St. Mary's,1870,3,2
alb.ny.0094,—,1868,2,1
alb.ny.0094,St. Peter's,1870,2,1
alb.ny.0122,—,1868,3,2
alb.ny.0122,—,1869,3,2
alb.ny.0122,Immaculate Conception,1870,3,1
alb.ny.0125,St. —,1868,3,1
alb.ny.0125,—,1869,3,2
alb.ny.0125,—,1870,3,2
alb.ny.0126,St. Ambrose,1868,3,1
alb.ny.0126,Church of Angel Guardians,1869,3,2
alb.ny.0126,Church of Angel Guardians,1870,3,2
alb.ny.0127,St. —,1868,3,1
alb.ny.0127,—,1869,3,1
alb.ny.0127,St. Joseph's,1870,3,1
alb.ny.0129,St. —,1868,3,1
alb.ny.0129,St. John Baptist,1869,3,2
alb.ny.0129,St. John Baptist,1870,3,2
alb.ny.0131,St. —,1868,3,1
alb.ny.0131,St. Patrick's,1869,3,2
alb.ny.0131,St. Patrick's,1870,3,2
alb.ny.0142,St. Mary's,1868,3,2
alb.ny.0142,St. Mary's,1869,3,2
alb.ny.0142,St. Patrick's,1870,3,1
alb.ny.0223,St. John the Baptist,1869,2,1
alb.ny.0223,St. Peter's,1870,2,1
alb.ny.0224,St. Joseph's Church,1869,2,1
alb.ny.0224,St. John Baptist,1870,2,1
alb.ny.0244,St. Mary's,1869,2,1
alb.ny.0244,"St. Mary's,",1870,2,1
