name,id,drive_resource
Albany1870,1feluqVtQMVwzpgsN8EWxYjoT6sUQCyeifmvhbCCIflw,
VAFlorida1870,1lYI2yIp-7vWyIqvdzqeZCFHxMO1DOZG63syOQx5-l-E,
Dubuque1870,1PJ5tZbUy45PYIYpJeTgsuD9L-Z5mFK0NTkNmAMSRLXk,
Detroit1870,11ppwVHttIDCrmTGvlz3HcE4qpOwWGjlkXB6EZXhN4CQ,
Covington1870,1SXddGUhH3VpxKufHygf2ZPrdD9haZyxhw8yRJrg0k4Y,
Columbus1870,1LJZ8KasVw8m8lPeAYP-zCi8OqZgW-9lTQwF3URGF0nY,
Cleveland1870,13ji_V1wGi0h42R7J_OVfawuXSByNvE7tvtaFqBLGQ6U,
Cincinnati1870,1EbuYi3RQex_jt6OiqWvGZJQxkcgAtlAnm8ZoahlwemI,
Chicago1870,1pWfJd-VGs-O27XPdjonkIYxlz61FiuzzBlN3SWnd6yA,
Charleston1870,12mu7xvIGZbkxi9LOhaP4K6K6x18WVCdvmf7lWhP2EXc,
Burlington1870,1FR3Uk3foOm-t_JCQKwcBfeNJcpKHJhyjdYaGIAf_ZW4,
Buffalo1870,19O6TbEce5TIclzX5HImozH0qSz1neqmkwZg7iGpDcEE,
Brooklyn1870,14Yi2LkQiipRjgxzj9i-vd7NFEIv8zEAyS4ZdrStmFQQ,
Boston1870,1Ym9JtFBw72yYQyeqPuKF95PFFgcM6D5T8mOk5Sc89S8,
Natchitoches1870,1z1RWW0B24imB5zPQURSXkfZJm65OREwwCg2mlsJU3Wc,
NewYorkCity1870,1wZo8kXChSF_JK_pkD5Hnpu8HWD_9NT637TSb9TJOAKs,
GrassValley1870,1Jg8mzqsmMnaTeLxi13xDz9Gpf69Vqx9xzLAD03bZLYs,
Harrisburg1870,1WtZqbQ1N3UgheS6Pio6hYhr2fq0NCaAp7U71xa3qEFc,
Savannah1870,11-7ivKWXZHna-Lw94R-db8Eb7gsY6C_AYiug8DldaiY,
GreenBay1870,1qz-RKI4u85tr_kQqjx2-CNJgYG6TAmnbuD5WvjfEcaM,
Milwaukee1870,1MHjkns_vcuGyzNB1b5hbUybSL65VChRqOgLRETbEXKA,
SanFrancisco1870,1ZaZAKsDLjvzwYSt1FvhiL8KD1Yp7DomqACZLop7OuH0,
VANorthCarolina1870,1oGaUGo5yJU8YwNWGMikUAWiSjkqP8WfQM4tFh05JRLU,
