"","instID","instName","sheet_name"
"1","nat.ms.0001","St. Mary's Cathedral, Our Lady of Sorrows","Natchez1867"
"2","nat.ms.0002",NA,"Natchez1867"
"3","nat.ms.0005",NA,"Natchez1867"
"4","nat.ms.0006",NA,"Natchez1867"
"5","nat.ms.0007","Our Lady of the Gulf","Natchez1867"
"6","nat.ms.0111",NA,"Natchez1867"
"7","nat.ms.0008","Nativity of the Blessed Virgin Mary","Natchez1867"
"8","nat.ms.0010",NA,"Natchez1867"
"9","nat.ms.0011",NA,"Natchez1867"
"10","nat.ms.0012",NA,"Natchez1867"
"11","nat.ms.0013","St. Francis of Assisium","Natchez1867"
"12","nat.ms.0015",NA,"Natchez1867"
"13","nat.ms.0016","Church of the Sacred Heart","Natchez1867"
"14","nat.ms.0017",NA,"Natchez1867"
"15","nat.ms.0018",NA,"Natchez1867"
"16","nat.ms.0019",NA,"Natchez1867"
"17","nat.ms.0020",NA,"Natchez1867"
"18","nat.ms.0021",NA,"Natchez1867"
"19","nat.ms.0022",NA,"Natchez1867"
"20","nat.ms.0023",NA,"Natchez1867"
"21","nat.ms.0025",NA,"Natchez1867"
"22","nat.ms.0026",NA,"Natchez1867"
"23","nat.ms.0027",NA,"Natchez1867"
"24","nat.ms.0028",NA,"Natchez1867"
"25","nat.ms.0029",NA,"Natchez1867"
"26","nat.ms.0030",NA,"Natchez1867"
"27","nat.ms.0032",NA,"Natchez1867"
"28","nat.ms.0033","St. Joseph's","Natchez1867"
"29","nat.ms.0034",NA,"Natchez1867"
"30","nat.ms.0036",NA,"Natchez1867"
"31","nat.ms.0037",NA,"Natchez1867"
"32","nat.ms.0040",NA,"Natchez1867"
"33","nat.ms.0041",NA,"Natchez1867"
"34","nat.ms.0042",NA,"Natchez1867"
"35","nat.ms.0043",NA,"Natchez1867"
"36","nat.ms.0044",NA,"Natchez1867"
"37","nat.ms.0045",NA,"Natchez1867"
"38","nat.ms.0046",NA,"Natchez1867"
"39","nat.ms.0047",NA,"Natchez1867"
"40","nat.ms.0048",NA,"Natchez1867"
"41","nat.ms.0049",NA,"Natchez1867"
"42","nat.ms.0050",NA,"Natchez1867"
"43","nat.ms.0051",NA,"Natchez1867"
"44","nat.ms.0052",NA,"Natchez1867"
"45","nat.ms.0053",NA,"Natchez1867"
"46","nat.ms.0054",NA,"Natchez1867"
"47","nat.ms.0056",NA,"Natchez1867"
"48","nat.ms.0057",NA,"Natchez1867"
"49","nat.ms.0058",NA,"Natchez1867"
"50","nat.ms.0059","St. Paul's","Natchez1867"
"51","nat.ms.0060","St. Michael's","Natchez1867"
"52","nat.ms.0061",NA,"Natchez1867"
"53","nat.ms.0062","St. Joseph's","Natchez1867"
"54","nat.ms.0063","Church of the Holy Cross","Natchez1867"
"55","nat.ms.0064",NA,"Natchez1867"
"56","nat.ms.0065",NA,"Natchez1867"
"57","nat.ms.0066",NA,"Natchez1867"
"58","nat.ms.0067",NA,"Natchez1867"
"59","nat.ms.0070","Our Lady of the Gulf","Natchez1867"
"60","nat.ms.0071",NA,"Natchez1867"
"61","nat.ms.0072",NA,"Natchez1867"
"62","nat.ms.0073",NA,"Natchez1867"
"63","nat.ms.0074","Immaculate Conception","Natchez1867"
"64","nat.ms.0075",NA,"Natchez1867"
"65","nat.ms.0076",NA,"Natchez1867"
