instID,type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,place,year,file_id,AttendingChurchFrequency,AttendingChurchNote
mon.ca.0001,church,Na. Sa. de los Angeles (Our Lady of Angels),NA,NA,NA,NA,Los Angeles,NA,Los Angeles,Los Angeles,CA,none,34.0577215,-118.2449948,NA,NA,NA,NA,NA,Rt. Rev.,Thaddeus Amat,D.D.,NA,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,none,NA,NA,NA,NA,NA,NA,NA,Very Rev.,Francis Mora,NA,Rector,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,none,NA,NA,NA,NA,NA,NA,NA,Rev.,Joseph Mut,NA,Assistant Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0002,church,NA,NA,NA,NA,NA,Los Angeles,NA,San Gabriel,San Gabriel,CA,none,34.0961111,-118.1058333,NA,NA,NA,NA,NA,Rev.,Ciprian Rubio,NA,Rector,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0008,church,San Antonia de Padua,NA,NA,NA,NA,Los Angeles,NA,Santa Ana,Santa Ana,CA,none,34.3871821,-118.1122679,NA,NA,NA,NA,NA,Rev.,Anthony Borgatta,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0010,church,NA,NA,NA,NA,NA,Los Angeles,NA,San Juan Capistrano,San Juan Capistrano,CA,none,34.3871821,-118.1122679,NA,NA,NA,NA,NA,Rev.,Michael Duran,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0015,church,San Salvador,NA,NA,NA,NA,San Bernardino,NA,Turupa,Turupa Valley,CA,none,34.9592083,-116.419389,NA,NA,NA,NA,NA,Rev.,Peter Verdaguer,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0020,chapel,Nativity of the Blessed Virgin Mary,NA,NA,NA,NA,Tulare,NA,Visalia,Visalia,CA,none,36.3301329,-119.2966367,NA,NA,NA,NA,NA,Rev.,Daniel Dade,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,none,NA,NA,NA,NA,NA,NA,NA,Rev.,Vincent Riera,NA,Assistant Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0024,church,Na. Sa. de los Dolores,NA,NA,NA,NA,Santa Barbara,NA,Santa Barbara,Santa Barbara,CA,none,34.4208305,-119.6981901,NA,NA,NA,NA,NA,Rev.,James Vila,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,none,NA,NA,NA,NA,NA,NA,NA,Rev.,Joachim Bot,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0027,convent,Mission of Santa Barbara,NA,NA,Convent of the Rev. Franciscan Fathers,NA,NA,NA,NA,none,CA,none,34.4383262,-119.7140678,NA,NA,NA,NA,NA,Very Rev.,José Ma. de Jesus Gonzales,NA,Superior,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0028,church,NA,NA,NA,NA,NA,Santa Barbara,NA,San Buenaventura,Ventura,CA,none,34.2804923,-119.2945199,NA,NA,NA,NA,NA,Rev.,John Comapla,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0034,church,NA,NA,NA,NA,NA,San Luis Obispo,NA,San Luis Obispo,San Luis Obispo,CA,none,35.2744927,-120.6580433,NA,NA,NA,NA,NA,Rev.,Ciprian Rubio,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0037,church,St. Charles Borromeo,NA,NA,NA,NA,Monterey,NA,Monterey,Monterey,CA,none,36.5864633,-121.8626374,NA,NA,NA,NA,NA,Rev.,John Comellas,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0039,church,NA,NA,NA,NA,NA,Monterey,Monterey County,San Antonio,Bee Rock,CA,none,36.2182781,-121.1340957,NA,NA,NA,NA,NA,Rev.,Doroteo Ambris,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0041,church,NA,NA,NA,NA,NA,Monterey,San Benito County,San Juan Baptista,San Juan Bautista,CA,none,36.6002236,-121.8947489,NA,NA,NA,NA,NA,Rev.,Anthony Ubach,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0048,church,NA,NA,NA,NA,NA,Santa Cruz,NA,Santa Cruz,Santa Cruz,CA,none,37.0147936,-121.5732537,NA,NA,NA,NA,NA,Rev.,Angel de Casanova,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
mon.ca.0047,church,Immaculate Heart of Mary,NA,NA,NA,NA,Santa Cruz,NA,Pajaro Vale,Pajaro Valley,CA,none,37.2938907,-121.7195459,NA,NA,NA,NA,NA,Rev.,Apollinarius Russell,NA,Pastor,NA,NA,NA,NA,Monterey,1864,1yw1_RPtAzPPTaTkUUKxZsaQQdr5L2RCuu1SwII7t_vI,NA,NA
