name,nrows_instLocations
Alton1870,320
Albany1870,474
Savannah1870,63
Brooklyn1870,184
NewOrleans1867,0
StJoseph1870,58
StPaul1870,286
Covington1870,110
Cincinnati1870,351
Wilmington1870,38
Erie1870,126
Philadelphia1870,424
Scranton1870,126
StLouis1870,305
VAKansas1870,109
Vincennes1870,242
Wheeling1870,116
VANorthCarolina1870,24
SanFrancisco1870,183
NewYorkCity1870,486
GreenBay1870,85
Cleveland1870,261
Columbus1870,127
Natchez1870,118
Natchitoches1870,79
NewOrleans1870,263
SantaFe1870,178
Richmond1870,57
VANebraska1870,68
VAFlorida1870,30
VAColoradoUtah1870,69
Portland1870,93
Pittsburgh1870,200
Newark1870,195
LittleRock1870,41
LaCrosse1870,88
Hartford1870,264
FortWayne1870,207
Chicago1870,368
Charleston1870,55
Burlington1870,78
Buffalo1870,225
Detroit1870,227
Nashville1870,62
Louisville1870,254
Marquette1870,44
Mobile1870,74
Baltimore1870,383
Boston1870,342
OregonCity1870,84
Harrisburg1870,88
Nesqualy1870,39
Monterey1870,75
Galveston1870,207
Milwaukee1870,407
GrassValley1870,125
Rochester1870,103
Dubuque1870,202
Boston1869,302
Harrisburg1869,0
FortWayne1869,202
Alton1869,315
Brooklyn1869,148
Charleston1869,47
Erie1869,100
SantaFe1869,0
Scranton1869,0
Richmond1869,0
StLouis1869,0
VANorthCarolina1869,0
Pittsburgh1869,0
VAFlorida1869,0
Rochester1869,0
LaCrosse1869,0
StJoseph1869,22
VANebraska1869,49
Nashville1869,0
GreenBay1869,0
Galveston1869,199
Natchez1869,102
Detroit1869,0
Milwaukee1869,0
Baltimore1869,0
Wilmington1869,0
Mobile1869,68
Monterey1869,69
Marquette1869,44
LittleRock1869,43
Burlington1869,75
Natchitoches1869,36
StPaul1869,297
Buffalo1869,248
Nesqualy1869,39
NewOrleans1869,251
Philadelphia1869,388
Savannah1869,67
VAIdaho1869,27
Portland1869,90
SanFrancisco1869,151
NewYorkCity1869,485
Albany1869,379
OregonCity1869,87
Newark1869,168
GrassValley1869,122
Covington1869,0
Philadelphia1868,0
Galveston1868,186
Milwaukee1868,0
SantaFe1868,0
Mobile1868,67
Nesqualy1868,54
VAMarysvilleCalifornia1868,120
Alton1868,260
Brooklyn1868,136
Albany1868,0
NewOrleans1868,0
Portland1868,0
Charleston1868,0
Baltimore1868,23
Richmond1868,0
Nashville1868,0
Natchez1868,98
VANebraska1868,37
Burlington1868,0
Natchitoches1868,0
Pittsburgh1868,0
VAFlorida1868,0
LittleRock1868,0
Buffalo1868,0
Detroit1868,0
Boston1868,0
Erie1868,103
OregonCity1868,87
NewYorkCity1868,455
Newark1868,159
Monterey1868,68
SanFrancisco1868,139
StPaul1868,264
Savannah1868,56
Marquette1868,67
Covington1868,0
Mobile1868,0
StLouis1868,155
FortWayne1868,0
Philadelphia1867,0
Savannah1867,0
Marquette1867,0
Portland1867,0
Burlington1867,0
Mobile1867,0
OregonCity1867,93
Alton1867,193
Nesqualy1867,54
Monterey1867,64
VAMarysvilleCalifornia1867,121
NewYorkCity1867,371
Newark1867,150
Baltimore1867,0
Detroit1867,0
Richmond1867,0
Galveston1867,194
VANebraska1867,32
StPaul1867,0
Brooklyn1867,123
Nashville1867,71
SantaFe1867,0
Erie1867,0
SanFrancisco1867,140
Natchez1867,95
Albany1867,0
FortWayne1867,0
Pittsburgh1867,0
Buffalo1867,0
Covington1867,0
Charleston1867,0
Boston1867,0
VAFlorida1867,0
FortWayne1866,0
Marquette1866,0
Detroit1866,0
Alton1866,183
Monterey1866,60
SantaFe1866,0
SanFrancisco1866,130
OregonCity1866,94
Nesqualy1866,56
Nashville1866,0
VANebraska1866,29
VAMarysvilleCalifornia1866,0
NewYorkCity1866,0
Baltimore1866,0
Newark1866,0
Brooklyn1866,0
Richmond1866,0
Covington1866,0
Detroit1865,0
Alton1865,182
Nesqualy1865,50
VAMarysvilleCalifornia1865,0
SantaFe1865,0
OregonCity1865,86
Monterey1865,54
VANebraska1865,23
Richmond1865,0
Baltimore1865,0
NewYorkCity1865,0
Nashville1865,44
Brooklyn1865,0
Newark1865,0
SanFrancisco1865,123
Covington1865,0
Newark1864,0
Baltimore1864,0
NewYorkCity1864,0
SantaFe1864,0
VANebraska1864,25
Richmond1864,0
Nashville1864,40
Alton1864,162
Monterey1864,43
Nesqualy1864,36
OregonCity1864,75
SanFrancisco1864,113
Brooklyn1864,0
Covington1864,0
