"","file_id","sheet_name","name"
"1","1lfjNyc1aO2drzT44SVdeDutFQ5ikxD2WFKINFbfIvcA","(new) insts","Philadelphia1870"
"2","1l2PzmqpappLT23JecTQeZq4VpUdPc7SYHjarJJ7HWwA","(new) institutions","NewOrleans1870"
"3","11-7ivKWXZHna-Lw94R-db8Eb7gsY6C_AYiug8DldaiY","(new) institutions","Savannah1870"
"4","14Yi2LkQiipRjgxzj9i-vd7NFEIv8zEAyS4ZdrStmFQQ","(new) institutions","Brooklyn1870"
"5","1m6z5QpR6acyUSJGZV-QEWmDhmLko5cOrJ4eJvmK3FKw","(new) institutions","StJoseph1870"
"6","1O_pvOA6HSpbNi9nameC8gPOJg6chpRdJMkZrGCGDIkI","(new) institutions","Scranton1870"
"7","1SXYyLrESF7xJQFB4JMGrEtihSc2s_gsX_zxsK69mDJw","(new) institutions","StLouis1870"
"8","1YCta4_6RgT2qZl2cjMPLEJGwl9H5TkJPzXCsM1WahP8","(new) institutions","VAKansas1870"
"9","1SgX7akbv-bhxwQiSQfx5cZNawPkP2L73fVoAS6vmAqk","New institutions","Vincennes1870"
"10","1SgX7akbv-bhxwQiSQfx5cZNawPkP2L73fVoAS6vmAqk","(new) institutions","Vincennes1870"
"11","1_21SXjmvbXF85g77XL7wKSJKGuFLyK0Upklf00Ao-f4","(new) institutions","Wheeling1870"
"12","1ZaZAKsDLjvzwYSt1FvhiL8KD1Yp7DomqACZLop7OuH0","(new) institutions","SanFrancisco1870"
"13","1wZo8kXChSF_JK_pkD5Hnpu8HWD_9NT637TSb9TJOAKs","(new) churches and insts","NewYorkCity1870"
"14","13ji_V1wGi0h42R7J_OVfawuXSByNvE7tvtaFqBLGQ6U","(new) institutions","Cleveland1870"
"15","1RRcRHYVgY8Ct5hyiY22_pSpnTSraMY1dTvhgCX9fwOs","(new) institutions)","VAColoradoUtah1870"
"16","1JBO8Dn1cyIJKyXywp8Y2SNzQ051Ab9C6ty7Ly1SSgBY","(new) churches and insts","Portland1870"
"17","1pHFoiKSoHbbZ_JrHkEKmVPMdtitZRMYgA3oYumDiLm0","(new) insts and churches","Pittsburgh1870"
"18","1cr40uFQCyzeOADuyOhsiMlNFgv2HHbzzLZ0Wb3n7d0g","(new) institutions","Newark1870"
"19","1qFaQWVwfD0XWcafB2yP9BZwQuFcie4gn3d92dXbzERw","newInsts","Hartford1870"
"20","19O6TbEce5TIclzX5HImozH0qSz1neqmkwZg7iGpDcEE","(new) institutions","Buffalo1870"
"21","1ifVZV2Woz0c0Gg_62CgPAGiN0gORJoWBLUZ2XWQXUFM","(new) institutions","Mobile1870"
"22","1Ym9JtFBw72yYQyeqPuKF95PFFgcM6D5T8mOk5Sc89S8","Sheet1","Boston1870"
"23","121bG-Gilf8baM3fgF9UsXrn8m5mVmXmXQPidMU7xwac","(new) institutions","OregonCity1870"
"24","19hX2dvFaNIDXh7PXIRDdAvIs-sJ8RfFv99asPSvkFsQ","(new) institutions","Wilmington1870"
"25","1zugIYUqEUR7kiQAYVJBZFJO8_keWssVjWNVZyYrVXJ8","(new) institutions","StPaul1870"
